nuts1_name,nuts1,nuts2_name,nuts2,nuts3_name,nuts3
Brussels,BE1,Brussels,BE10,Arrondissement of Brussels-Capital,BE100
Flanders,BE2,Antwerp,BE21,Arrondissement of Antwerp,BE211
Flanders,BE2,Antwerp,BE21,Arrondissement of Mechelen,BE212
Flanders,BE2,Antwerp,BE21,Arrondissement of Turnhout,BE213
Flanders,BE2,Limburg,BE22,Arrondissement of Hasselt,BE221
Flanders,BE2,Limburg,BE22,Arrondissement of Maaseik,BE222
Flanders,BE2,Limburg,BE22,Arrondissement of Tongeren,BE223
Flanders,BE2,East Flanders,BE23,Arrondissement of Aalst,BE231
Flanders,BE2,East Flanders,BE23,Arrondissement of Dendermonde,BE232
Flanders,BE2,East Flanders,BE23,Arrondissement of Eeklo,BE233
Flanders,BE2,East Flanders,BE23,Arrondissement of Ghent,BE234
Flanders,BE2,East Flanders,BE23,Arrondissement of Oudenaarde,BE235
Flanders,BE2,East Flanders,BE23,Arrondissement of Sint-Niklaas,BE236
Flanders,BE2,Flemish Brabant,BE24,Arrondissement of Halle-Vilvoorde,BE241
Flanders,BE2,Flemish Brabant,BE24,Arrondissement of Leuven,BE242
Flanders,BE2,West Flanders,BE25,Arrondissement of Bruges,BE251
Flanders,BE2,West Flanders,BE25,Arrondissement of Diksmuide,BE252
Flanders,BE2,West Flanders,BE25,Arrondissement of Ypres,BE253
Flanders,BE2,West Flanders,BE25,Arrondissement of Kortrijk,BE254
Flanders,BE2,West Flanders,BE25,Arrondissement of Ostend,BE255
Flanders,BE2,West Flanders,BE25,Arrondissement of Roeselare,BE256
Flanders,BE2,West Flanders,BE25,Arrondissement of Tielt,BE257
Flanders,BE2,West Flanders,BE25,Arrondissement of Veurne,BE258
Wallonia,BE3,Walloon Brabant,BE31,Arrondissement of Nivelles,BE310
Wallonia,BE3,Hainaut,BE32,Arrondissement of Ath,BE321
Wallonia,BE3,Hainaut,BE32,Arrondissement of Charleroi,BE322
Wallonia,BE3,Hainaut,BE32,Arrondissement of Mons,BE323
Wallonia,BE3,Hainaut,BE32,Arrondissement of Mouscron,BE324
Wallonia,BE3,Hainaut,BE32,Arrondissement of Soignies,BE325
Wallonia,BE3,Hainaut,BE32,Arrondissement of Thuin,BE326
Wallonia,BE3,Hainaut,BE32,Arrondissement of Tournai,BE327
Wallonia,BE3,Liège,BE33,Arrondissement of Huy,BE331
Wallonia,BE3,Liège,BE33,Arrondissement of Liège,BE332
Wallonia,BE3,Liège,BE33,Arrondissement of Waremme,BE334
Wallonia,BE3,Liège,BE33,"Arrondissement of Verviers,
municipalities of the French Community",BE335
Wallonia,BE3,Liège,BE33,"Arrondissement of Verviers,
municipalities of the German Community",BE336
Wallonia,BE3,Luxembourg (Belgium),BE34,Arrondissement of Arlon,BE341
Wallonia,BE3,Luxembourg (Belgium),BE34,Arrondissement of Bastogne,BE342
Wallonia,BE3,Luxembourg (Belgium),BE34,Arrondissement of Marche-en-Famenne,BE343
Wallonia,BE3,Luxembourg (Belgium),BE34,Arrondissement of Neufchâteau,BE344
Wallonia,BE3,Luxembourg (Belgium),BE34,Arrondissement of Virton,BE345
Wallonia,BE3,Namur,BE35,Arrondissement of Dinant,BE351
Wallonia,BE3,Namur,BE35,Arrondissement of Namur,BE352
Wallonia,BE3,Namur,BE35,Arrondissement of Philippeville,BE353