location_bg,country,nuts1,nuts2,nuts3,lau1
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Кърджали, Кърджали",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Kardjali Province,Kurdjali
Испания,Spain,,,,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Кърджали, Черноочене",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Kardjali Province,Chernoochene
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Стара Загора, Гълъбово",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Stara Zagora Province,Galabovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Търговище, Антоново",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Turgovishte Province,Antonovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Монтана, Брусарци",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Montana Province,Brusartsi
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Горна Малина",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Gorna Malina
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Кюстендил, Рила",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Kyustendil Province,Rila
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Велико Търново, Лясковец",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Veliko Turnovo Province,Lyaskovets
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Марица",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Maritsa
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Кричим",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Krichim
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Враца, Мездра",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vratsa Province,Mezdra
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Бургас, Руен",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Bourgas Province,Ruen
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Самоков",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Samokov
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Кюстендил, Невестино",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Kyustendil Province,Nevestino
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Монтана, Чипровци",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Montana Province,Chiprovtsi
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Смолян, Мадан",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Smolyan Province,Madan
Естония,Estonia,,,,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Враца, Роман",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vratsa Province,Roman
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Перник, Земен",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Pernik Province,Zemen
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Бургас, Бургас",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Bourgas Province,Bourgas
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Ловеч, Ябланица",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Lovech Province,Yablanitsa
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София град, Столична",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia-city,Stolichna
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Варна, Провадия",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Varna Province,Provadia
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Смолян, Доспат",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Smolyan Province,Dospat
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пазарджик, Пещера",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Pazardjik Province,Peshtera
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Кресна",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Kresna
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Лъки",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Luki
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Хасково, Симеоновград",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Haskovo Province,Simeonovgrad
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Стара Загора, Братя Даскалови",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Stara Zagora Province,Bratya Daskalovi
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Русе, Борово",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Rousse Province,Borovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Враца, Криводол",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vratsa Province,Krivodol
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Кърджали, Джебел",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Kardjali Province,Djebel
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Търговище, Попово",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Turgovishte Province,Popovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Варна, Ветрино",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Varna Province,Vetrino
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Велико Търново, Сухиндол",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Veliko Turnovo Province,Suhindol
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Враца, Мизия",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vratsa Province,Mizia
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Хисаря",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Hissarya
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Карлово",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Karlovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Ямбол",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Yambol Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ",Bulgaria,Northern and Eastern Bulgaria,,,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Кюстендил, Кочериново",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Kyustendil Province,Kocherinovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Бургас, Карнобат",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Bourgas Province,Karnobat
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Търговище, Омуртаг",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Turgovishte Province,Omurtag
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Варна, Бяла",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Varna Province,Byala
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Добрич, Каварна",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Dobrich Province,Kavarna
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пазарджик",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Pazardjik Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Враца",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vratsa Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Русе, Две могили",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Rousse Province,Dve mogili
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Хасково, Харманли",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Haskovo Province,Harmanli
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пазарджик, Велинград",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Pazardjik Province,Velingrad
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Ловеч, Троян",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Lovech Province,Troyan
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Златица",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Zlatitsa
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Варна, Суворово",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Varna Province,Suvorovo
Германия,Germany,,,,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Шумен, Нови пазар",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Shoumen Province,Novi pazar
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Перник, Радомир",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Pernik Province,Radomir
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Видин, Видин",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vidin Province,Vidin
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Видин, Чупрене",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vidin Province,Chuprene
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Кърджали, Момчилград",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Kardjali Province,Momchilgrad
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Враца, Борован",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vratsa Province,Borovan
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Куклен",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Kuklen
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Ботевград",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Botevgrad
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Плевен, Плевен",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Pleven Province,Pleven
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Добрич, Добрич-села",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Dobrich Province,Dobrich
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Добрич, Балчик",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Dobrich Province,Balchik
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Силистра, Тутракан",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Silistra Province,Tutrakan
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Бургас, Приморско",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Bourgas Province,Primorsko
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Драгоман",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Dragoman
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Симитли",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Simitli
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Перник, Ковачевци",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Pernik Province,Kovachevtsi
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Монтана, Лом",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Montana Province,Lom
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Благоевград",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Blagoevgrad
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пазарджик, Брацигово",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Pazardjik Province,Bratsigovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Варна, Варна",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Varna Province,Varna
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Шумен, Венец",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Shoumen Province,Venets
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Ямбол, Тунджа",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Yambol Province,Toundzha
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Струмяни",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Strumyani
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Хаджидимово",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Hadjidimovo
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пазарджик, Ракитово",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Pazardjik Province,Rakitovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Бургас, Несебър",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Bourgas Province,Nessebar
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Сливен, Сливен",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Sliven Province,Sliven
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Смолян, Смолян",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Smolyan Province,Smolyan
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Монтана, Вършец",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Montana Province,Varshets
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Разград",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Razgrad Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Враца, Враца",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vratsa Province,Vratsa
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пазарджик, Лесичово",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Pazardjik Province,Lesichovo
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Кюстендил, Кюстендил",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Kyustendil Province,Kyustendil
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Смолян, Девин",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Smolyan Province,Devin
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Велико Търново, Полски Тръмбеш",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Veliko Turnovo Province,Polski Trambesh
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Плевен, Долни Дъбник",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Pleven Province,Dolni Dabnik
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Плевен, Кнежа",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Pleven Province,Kneja
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Бургас, Малко Търново",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Bourgas Province,Malko Turnovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Бургас, Царево",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Bourgas Province,Tsarevo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Бургас, Сунгурларе",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Bourgas Province,Sungurlare
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Смолян, Неделино",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Smolyan Province,Nedelino
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Стара Загора, Чирпан",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Stara Zagora Province,Chirpan
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Гоце Делчев",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Gotse Delchev
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Монтана, Медковец",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Montana Province,Medkovets
Белгия,Belgium,,,,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Монтана, Берковица",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Montana Province,Berkovitsa
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Кърджали, Кирково",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Kardjali Province,Kirkovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Русе, Русе",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Rousse Province,Rousse
