rownum,beneficiary,project_title,unit,distribution_level,codes
3347,"SVP, š.p.","Ipeľský Sokolec, protipovodňové opatrenia",Ipeľský Sokolec,lau2,SK023_502375
264,Ministerstvo vnútra SR,Hasičská stanica Sabinov_01,Sabinov,lau1,56
5666,Ministerstvo kultúry SR,Zvyšovanie kvality verejnej správy v Bratislavskom,Bratislava,Bratislava,NULL
604,Za spolužitie,TSP v obci Nižný Žipov,Nižný Žipov,lau2,SK042_528609
175,"SVP, š.p.",Košice - Rekonštrukcia hate Vyšné Opátske,Kosice,Kosice,NULL
2761,"FOR REGION, n.o.",DSS Gemer Rožňava,Rožňava,lau1,54
1554,Ministerstvo vnútra SR,"SOŠ pre žiakov so sluchovým postihnutíím,Kremnica_01",Kremnica,lau2,SK032_516970
5697,N Á D E J Domov dôchodcov a Domov socialnych,Nádej n.o. Zlaté Moravce,Zlaté Moravce,lau1,75
1208,"SVP, š.p.","Dobrá Niva, úprava odtokových pomerov v povodí Dob",Dobrá Niva,lau2,SK032_518298
3256,"ENERGO - BYTOS, s.r.o.",Prechod na výrobu tepla z biomasy v meste Šahy,Šahy,lau2,SK023_502782
1668,"Ing.Helena Melková, Hotel Heľp",88 Prestavba Hotela Heľpa na hotel s wellne,Heľpa,lau2,SK032_508608
4392,"SVP, š.p.",Nová Bystrica - úprava toku Bystrica,Nová Bystrica,lau2,SK031_509311
888,Stredoslovenská vodárenská spoločnosť a.s.,Kanalizácia Vidiná,Vidiná,lau2,SK032_557307
4389,ŽSR,ŽSR Elektrifikácia trate Bánovce Humenné po DÚR,Humenné,lau1,19
2951,TVS a.s.,Kanalizácia Leopoldov a Červeník,"Červeník,Leopoldov",lau2,"SK021_506885,SK021_507253"
1781,Charitatívno-diakonický domov sociálnych služieb,"Charitatívno-diakonický DSS, n.o. vo Svite",Svit,lau2,SK041_523925
5257,Akadémia Vzdelávania,"Súkromná obchodná akadémia, Žilina",Žilina,lau1,79
1155,"Ústredie práce, sociálnych vecí a rodiny",Detský domov Remetské Hámre,Remetské Hámre,lau2,SK042_523003
1565,SSC,"I/51Z Trnava, Nitrianska cesta",Trnava,lau1,70
2709,"VVS,a.s.","Žbince,Dúbravka,Hatalov,Vrbnica -kanalizácia a ČOV","Dúbravka,Vrbnica,Žbince,Hatalov",lau2,"SK042_522406,SK042_523283,SK042_523372,SK042_522431"
2918,ŽSR,4 Záchytné parkoviská pre IDS Bratislava,Bratislava,Bratislava,NULL
5531,Ministerstvo vnútra SR,"Špec.ZŠ Zvolen, KŠÚ BB_01",Zvolen,lau1,76
3166,Domov dôchodcov TEREZA n.o.,"Zariadenie pre seniorov DD TEREZA, Novosad",Novosad,lau2,SK042_528617
3765,"Národná diaľničná spoločnosť, a.s.",D1 Hubová - Ivachnová  realizácia,"Ivachnová,Hubová",lau2,"SK031_507300,SK031_510441"
1049,Ján Volkai,Čeľovce - chovný kaprový rybník,Čeľovce,lau2,SK042_528242
3475,Ministerstvo vnútra SR,KRHaZZ v Prešove_ HaZZ Giraltovce_01,Prešov,lau1,49
2267,Stredoslovenská vodárenská spoločnosť a.s.,ČOV Veľký Krtíš - intenzifikácia ČOV,Veľký Krtíš,lau1,73
4815,Žilinska univerzita v Žiline,UVP ŽU Žilina,Žilina,lau1,79
1333,KŠÚ v Trnave,OU Hlohovec,Hlohovec,lau1,18
3644,"VVS,a.s.",Snina ČOV - zvýšenie kapacity,Snina,lau1,60
651,"Národná diaľničná spoločnosť, a.s.","R2 Zvolen, východ - Pstruša realizácia",Zvolen,lau1,76
4816,"AQUA SLEEP, s.r.o.",Rozšírenie penziónu AQUA SLEEP - Veľký Meder,Veľký Meder,lau2,SK021_501522
2422,Ministerstvo vnútra SR,Žiar nad Hronom HaZZ (BB)_01,Žiar nad Hronom,lau1,78
1497,Ministerstvo vnútra SR,Špeciálna Základná škola v Poprade_01,Poprad,lau1,47
3726,Ministerstvo vnútra SR,OUI Valaská Kšú BB_01,Valaská,lau2,SK032_509086
5165,PVS a.s.,Dobud. kanal. a ČOV v aglom. Hôrka a Švábovce,"Švábovce,Hôrka",lau2,"SK041_523950,SK041_523488"
3351,Ministerstvo vnútra SR,HaZZ Stropkov_01,Stropkov,lau1,64
3827,"Ministerstvo dopravy, výstavby a re",Posúdenie cestného prepojenia Chocholná-Velčice,Chocholná-Velčice,lau2,SK022_506087
2280,Optima consulting s. r. o.,Drevenice Terchová - dostavba komplexu c,Terchová,lau2,SK031_518042
2738,Ministerstvo vnútra SR,KRHaZZ Prešov_hasičská stanica v Raslaviciach_01,Prešov,lau1,49
4027,ŽSR,TIOP Bratislava,Bratislava,Bratislava,NULL
3645,Ministerstvo kultúry SR,Múzeum Andreja Kmeťa v Martine,Martin,lau1,35
1946,"SVP, š.p.",Protipovodňová ochrana a regulácia rieky Poprad,Poprad,lau1,47
2633,Ministerstvo obrany SR,Sanácia env. záťaže MO SR - Nemšová,Nemšová,lau2,SK022_506281
2352,"SVP, š.p.","Stará Ľubovňa, Nová Ľubovňa - protipovod",Stará Ľubovňa,lau1,63
5526,"BEBOSTAV, s.r.o.",Penzión Daniella Veľký Lipník - rozšírenie a skval,Veľký Lipník,lau2,SK041_527076
1904,KR Hasičského a záchr. zboru v PO,Hasičská stanica Spišská Stará Ves,Spišská Stará Ves,lau2,SK041_523836
4604,EUROCOM & Co. s.r.o.,Rekonštrukcia národnej kultúrnej pamiatky - Orlové,Orlov,lau2,SK041_526941
100,SSC,I/66 Polomka - bodová závada,Polomka,lau2,SK032_508900
3640,"SVP, š.p.",Bardejov -  ochrana pred povodňami na rieke Topľa,Bardejov,lau1,4
2885,LVS,"Výstavba kanalizácie Bobrovec, Jalovec, Trstené","Jalovec,Trstené,Jalovec,Bobrovec",lau2,"SK031_510513,SK031_511072,SK022_557714,SK031_510327"
401,KRHZZ v Trnave,Veľký Meder HaZZ TT,Veľký Meder,lau2,SK021_501522
528,Stredoslovenská vodárenská spoločnosť a.s.,Aglomerácia Sebedražie - kanalizácia,Sebedražie,lau2,SK022_514373
214,Ministerstvo vnútra SR,Rekonštrukcia a prístavba HS Liptovský Mikuláš,Liptovský Mikuláš,lau1,32
2146,Ministerstvo vnútra SR,HS Zvolen KR BB_01,Zvolen,lau1,76
249,"TURVOD, a.s.","Martin – Ostredok, vodovod",Martin,lau1,35
3559,KR Hasičského a záchr. zboru v PO,Hasičská stanica Sabinov,Sabinov,lau1,56
2690,Krajské riaditeľstvo HaZZ v BB,HS Rimavská Sobota,Rimavská Sobota,lau1,53
4639,"Gajdoš-Consulting Engineers, s.r.o.",Malá vodná elektráreň na  Váhu Trnovec - ,Trnovec,lau2,SK021_504912
4109,"Národná diaľničná spoločnosť, a.s.",R1 Žarnovica – Šášovské Podhradie,Žarnovica,lau1,77
2877,Ministerstvo vnútra SR,HS Rimavská Sobota_01,Rimavská Sobota,lau1,53
931,"VVS,a.s.","Valaliky, Geča  – kanalizácia","Geča,Valaliky",lau2,"SK042_521370,SK042_522139"
2079,Ministerstvo vnútra SR,HaZZ Veľký Krtíš_01,Veľký Krtíš,lau1,73
2631,Martin Weiner,"Aquakultúra „LODENICA"" Varín",Varín,lau2,SK031_518069
5135,"RJ Development, a.s.",FV systém 3366 kWp Brezová pod Bradlom,Brezová pod Bradlom,lau2,SK022_504262
2500,TVS a.s.,Prívod vody Trnava – Križovany nad Dudváhom 2,Trnava,lau1,70
4100,"SVP, š.p.",VD Kráľová - stabilizácia ĽOH,Kráľ,lau2,SK032_515078
3060,Ministerstvo vnútra SR,Spojená škola Poprad_01,Poprad,lau1,47
1100,"1. Tatranská, akciová spoločnosť",Park Snow Vysoké Tatry,Vysoké Tatry,lau2,SK041_560103
1087,"Národná diaľničná spoločnosť, a.s.",D2 Zelený most - Moravský Svätý Ján,Moravský Svätý Ján,lau2,SK021_504572
2205,Ministerstvo vnútra SR,Dubnica nad Váhom (Hazz TN)_01,Dubnica nad Váhom,lau2,SK022_513016
1837,"FLH ENALCO - SQ, s.r.o.",Kogenerácia Palárikovo,Palárikovo,lau2,SK023_503452
2749,Krajské riaditeľstvo HaZZ v BB,HZ Detva,Detva,lau1,13
2755,Ministerstvo kultúry SR,Zámok Bojnice,Bojnice,lau2,SK022_513903
2667,Masarykovo muzeum Hodonín,"Společný návrat do 18. století prostřednictvím F. Š. Lotrinského, pána Hodonína a Holíče",Holíč,lau2,SK021_504378
3373,EVPÚ a.s.,Účasť spoločnosti EVPÚ a.s. Nová Dubnica na výstav,Nová Dubnica,lau2,SK022_513440
3121,Ministerstvo vnútra SR,HS Nové Zámky,Nové Zámky,lau1,42
1483,SSC,I/50 Trhovište - rekonštrukcia vozovky,Trhovište,lau2,SK042_523186
3753,MŽP  SR,Sanácia environ. záťaží na lok. Trenčianskeho kraj,Trenč,lau2,SK032_557340
642,"RYBÁRSTVO KLÁŠTOR, s.r.o.",Rybárstvo Kláštor pod Znievom,Kláštor pod Znievom,lau2,SK031_512354
1912,KR Hasičského a záchr. zboru v PO,Medzilaborce HaZZ,Medzilaborce,lau1,36
5291,"MOUNTAIN GATE Suites & Spa, s. r. o",Renovácia hotela Šport Donovaly,Donovaly,lau2,SK032_508560
2687,"Národná diaľničná spoločnosť, a.s.",Projektová príprava projektov D a R - D1 Prešov,Prešov,lau1,49
190,"SVP, š.p.",Rekonštrukcia čerpacej stanice Kopčany,Kopčany,lau2,SK021_504459
3741,"Nemocnice a polikliniky, a.s.",Nemocnica Rimavská Sobota_01,Rimavská Sobota,lau1,53
1258,"SVP, š.p.","Oravský Biely potok-Studený potok, stabiliz.koryta",Biel,lau2,SK042_528145
5410,"Národná diaľničná spoločnosť, a.s.",D1 Studenec - Beharovce,"Beharovce,Studenec",lau2,"SK041_526380,SK041_543641"
94,"TGI, s.r.o.","Rekonštrukcia objektov Košická 16 a 17, Levoča",Kosice,Kosice,NULL
4296,ŽSR,Dostavba zriaď. stanice Teplička a uzla Žilina-PD,Žilina,lau1,79
1195,"BAMAX plus, s.r.o.","Hotel Alfa, Nová Dubnica",Nová Dubnica,lau2,SK022_513440
3978,KR HaZZ KE,HS Sobrance KR Košice,Kosice,Kosice,NULL
5079,"ZLH Plus, a.s.",Environm.inovácia výrob. procesu zlivearne Hronec,Hronec,lau2,SK032_508667
4821,ŽSR,Modernizácia železničnej trate - Beluša - Púchov ,Púchov,lau1,51
4616,Ministerstvo vnútra SR,HaZZ Revúca KR BB_01,Revúca,lau1,52
5605,ŽSR,"ŽSR, Žilina Teplička zriaďovacia stanica",Žilina,lau1,79
807,"GEMCASS PROGRESS, s.r.o.",Uzovská Panica slnečná fotovoltaická elektráreň,Uzovská Panica,lau2,SK032_515701
3195,KRHZZ v Trnave,Holíč HaZZ TT,Holíč,lau2,SK021_504378
3465,"Národná diaľničná spoločnosť, a.s.","D1 Lietavská Lúčka – Višňové – Dubná Skala, I.fáza","Višňové,Lietavská Lúčka",lau2,"SK031_518093,SK031_557935"
510,Rímskokatolícka cirkev Biskupstvo Spišské Podhradi,"Modernizácia CZŠ Sv. Gorazda, Námestovo",Námestovo,lau1,39
5684,"Národná diaľničná spoločnosť, a.s.",R2 Pstruša – Kriváň,Kriváň,lau2,SK032_518549
943,"SVP, š.p.",Poltár-ochranné opatrenia na potoku Polt,Poltár,lau1,46
711,"ZA-real rent, s.r.o.",Jazdecký areál Brezany ,Brezany,lau2,SK031_547557
1917,ŽSR,Modernizácia žel. trate Liptovský Mikuláš-Poprad,"Poprad,Liptovský Mikuláš",lau1,"47,32"
42,"Službyt, spol. s r.o.",Rekonštrukcia mestskej výhrevne Senica,Senica,lau1,58
1897,Ministerstvo vnútra SR,HS Krompachy,Krompachy,lau2,SK042_543268
3900,KRHZZ v Trnave,HaZZ TT - Sereď,Sereď,lau2,SK021_504009
5268,"Národná diaľničná spoločnosť, a.s.",D1 Fričovce - Svinia,"Fričovce,Svinia",lau2,"SK041_524409,SK041_525171"
4221,Fakultná nemocnica s poliklinikou J. A. ,FNsP J.A.Reimana Prešov - Internistický monoblok,Prešov,lau1,49
2683,EZEX s.r.o.,Hotel Ambassador Košice,Kosice,Kosice,NULL
3082,"Pohoda seniorov,n.o.","Pohodo seniorov, n.o., Galanta",Galanta,lau1,16
4931,Rímskokatolícka cirkev Biskupstvo Spišské Podhradi,Rekonštrukcia ZŠ Smižany sv. Kríža,Smižany,lau2,SK042_560154
3522,"ELEMONT, s.r.o.",Kompostáreň bioodpadu Záhorce,Záhorce,lau2,SK032_516546
2996,"VVS,a.s.",Dobudovanie stokových sietí v aglomerácii Bardejov,Bardejov,lau1,4
5275,Ministerstvo vnútra SR,"Rekonštrukcia, prístavba a modernizácia Lipany ",Lipany,lau2,SK041_524778
1630,ŽSR,"TEŠ, EIA trate Leopoldov - Nitra - Šurany ",Nitra,lau1,40
1121,ŽSR,"Elektrifikácia Haniska – Moldava mesto, PD",Haniska,lau2,SK042_521400
4149,Miroslav Florek,Skvalitnenie služieb v SKI Krušetnica,Krušetnica,lau2,SK031_509779
1078,Ministerstvo vnútra SR,ŠZŠ internátna Trenčín_01,Trenčín,lau1,69
1561,ÚSMEV DSS n.o.,"Centrum soc. služieb, Úsmev n.o., Zlaté Moravce",Zlaté Moravce,lau1,75
2499,Ministerstvo vnútra SR,SOŠ Policajneho zboru Košice,Kosice,Kosice,NULL
4664,Zariadenie pre seniorov-Domov soc.služ.,"ZpS a DDS Tulipán, n.o. Považská Bystrica",Považská Bystrica,lau1,48
2824,HSP,Vytvor.a over.fungovania soc.podniku v okr. Brezno,Brezno,lau1,10
1133,Ministerstvo vnútra SR,HS Dobšiná,Dobšiná,lau2,SK042_525634
2612,"VVS,a.s.","Krásnovce, Šamudovce - kanalizácia","Krásnovce,Šamudovce",lau2,"SK042_522651,SK042_523151"
697,"D.J.D., spol. s r.o.",101 Apartmánové domy Štiavnické Bane,Štiavnické Bane,lau2,SK032_517283
121,"Národná diaľničná spoločnosť, a.s.",D1 Hričovské Podhradie - Lietavská Lúčka,"Lietavská Lúčka,Hričovské Podhradie",lau2,"SK031_557935,SK031_547590"
3604,Rímskokatolícka cirkevŽilinská diecéza,"Rekonštrukcia ZŠ sv. Augustína, Považská Bystrica",Považská Bystrica,lau1,48
4702,Stredoslovenská vodárenská spoločnosť a.s.,Banská Štiavnica -odkanalizovanie ul. SNP a 8.mája,Banská Štiavnica,lau1,3
5045,Masarykovo muzeum Hodonín,Archeopark Mikulčice-Kopčany – Zachování životního prostředí a krajiny,Kopčany,lau2,SK021_504459
2813,Gymnazium,Odborná profilácia Gymnázia v Kráľovskom Chlmci ,Kráľ,lau2,SK032_515078
3702,ŽSR,Verejný terminál intermodálnej prepravy Leopoldov,Leopoldov,lau2,SK021_507253
1430,"TURVOD, a.s.",Martin - Odkanalizovanie MČ Tomčany,Martin,lau1,35
1763,"PKB invest, s.r.o.","Hotel Dukla, Svidník - rekonštrukcia a m",Svidník,lau1,65
4771,PSI Jazmín,Komunitná práca v okrese Topoľčany,Topoľčany,lau1,67
5519,Zarnovica,ZŠ Žarnovica,Žarnovica,lau1,77
5559,"BYTES, s.r.o.",Centrálny tepelný zdroj na biomasu - Detva,Detva,lau1,13
4169,"SYNOT GASTRO SLOVAKIA, s.r.o.",hotel Tatra Trenčín,Trenčín,lau1,69
1639,"SVP, š.p.","Veľké Kozmálovce, usmernenie povodňových",Veľké Kozmálovce,lau2,SK023_581160
898,Stredoslovenská vodárenská spoločnosť a.s.,Hlinické Pohronie – časť Horná Ždaňa,Horná Ždaňa,lau2,SK032_516791
2309,SSC,I/77 Bardejov juhozápadný obchvat - 1.fáza,Bardejov,lau1,4
3712,Stredoslovenská vodárenská spoločnosť a.s.,"Malachov - Kanalizácia, II. etapa",Malachov,lau2,SK032_580244
5614,"Ústredie práce, sociálnych vecí a rodiny","Detský domov Martin, ÚPSVaR_01",Martin,lau1,35
3279,SSC,"I/79 Trebišov - Veľaty, rekonštrukcia",Trebišov,lau1,68
2103,Krajské riaditeľstvo HaZZ v BB,HaZZ Revúca KR BB,Revúca,lau1,52
1578,Patrik Šuchta - EUROSTAV,Zhodnoc. stav. odpadov v meste Michalovce a okolí,Michalovce,lau1,37
3359,ŽSR,Čadca št. hranica - Krásno nad Kysucou (mimo),Čadca,lau1,12
381,ŽSR,"ŽSR,Modernizácia žel.trate TT-Ilava-Beluša",Ilava,lau1,20
933,"Ústredie práce, sociálnych vecí a rodiny",Detský domov Šarišské Michaľany,Šarišské Michaľany,lau2,SK041_525235
3527,Ministerstvo vnútra SR,Stará Ľubovňa HaZZ (PO)_01,Stará Ľubovňa,lau1,63
4299,KRHZZ v Nitre,HaZZ Komárno,Komárno,lau1,22
146,IMMOBAU s.r.o.,Ski Jezersko - Bachledova dolina,Jezersko,lau2,SK041_523569
1892,SSC,"I/66 Brezno - obchvat, I.etapa",Brezno,lau1,10
3583,Masarykovo muzeum Hodonín,Archeologický park Mikulčice - Kopčany,Kopčany,lau2,SK021_504459
4161,"LL real invest, s.r.o.","business House Mikado, Nitra",Nitra,lau1,40
3750,KŠÚ  KE,Gymnázium M.R.Štefánika Košice,Kosice,Kosice,NULL
1266,SSC,I/75 Veľký Krtíš – Pôtor Sanácia,Veľký Krtíš,lau1,73
1125,Krajské riaditeľstvo HaZZ v BB,Žiar nad Hronom HaZZ (BB),Žiar nad Hronom,lau1,78
5304,Ministerstvo vnútra SR,Rekonštrukcia Hasičskej stanice Vráble,Vráble,lau2,SK023_500933
4440,KR HaZZ v Žiline,Bytča (Hazz ZA),Bytča,lau1,11
5039,KR Hasičského a záchr. zboru v PO,HaZZ Holčíkovce KR HaZZ Prešov,Prešov,lau1,49
3975,Ministerstvo kultúry SR,Rekonštrukcia objekut MŠ Banská Bystrica,Banská Bystrica,lau1,2
1585,"SANAT, spol. s r.o.",Rekon. a moder. budovy B polikliniky SANAT Levice,Levice,lau1,30
2916,SSC,I/61 Ladce - most 080,Ladce,lau2,SK022_513296
1235,"RSP, n.o.",Vytvor.a over.fungovania sociál.podniku-okr.Revúca,Revúca,lau1,52
463,KRHZZ v Nitre,HaZZ Topoľčany KR Nitra,"Nitra,Topoľčany",lau1,"40,67"
5262,Stredoslovenská vodárenská spoločnosť a.s.,Brezno- zrušenie výusti II. etapa,Brezno,lau1,10
2405,Moravský Sv. Ján,OHZ Moravský Svätý Ján,Moravský Svätý Ján,lau2,SK021_504572
1987,Ministerstvo vnútra SR,Hasičská stanica Sobrance,Sobrance,lau1,61
4559,"STAMART REAL, s.r.o.",TEAM BUILDING ACTIVITY Martin,Martin,lau1,35
1356,Ministerstvo vnútra SR,Rekonštrukcia a prístavba Hasičskej stanice Čadca,Čadca,lau1,12
690,Arcidiecézna charita KE,Terénna sociálna sieť v meste Košice ,Kosice,Kosice,NULL
3047,"Služby pre seniorov, n.o.",Zariadenie sociálnych služieb Kajal,Kajal,lau2,SK021_503843
3606,VALIGA O.S.S.,Modernizácia strediska Ski Krahule,Krahule,lau2,SK032_516961
203,"SVP, š.p.",Košice-rekonštrukcia hate Vyšné Opátske,Kosice,Kosice,NULL
4143,EUROSUPPORT s.r.o.,Výstavba malej vodnej elektrárne Strážske,Strážske,lau2,SK042_523101
