organization,org_type,units,codes,distribution_type
NATIONAL BUSINESS COLLEGE LIMITED 107164,college,"South Yorkshire, West Yorkshire","UKE3,UKE4",nuts2
North Highland College,college,Highlands and Islands,UKM6,nuts2
UNIVERSITY HOSPITALS OF LEICESTER NATIONAL 118354,college,Leicester,UKF21,nuts3
University Of The West Of England,college,"Bristol, City of",UKK11,nuts3
University of Wales,college,Cardiff and Vale of Glamorgan,UKL22,nuts3
University of Wales Newport,college,Monmouthshire and Newport,UKL21,nuts3
University of the Highlands and Islands,college,Highlands and Islands,UKM6,nuts2
University of the West of Scotland,college,South Western Scotland,UKM3,nuts2
West Highland College,college,Highlands and Islands,UKM6,nuts2
BEDFORD COLLEGE 106319,college,Bedford,UKH24,nuts3
BIRMINGHAM METROPOLITAN COLLEGE 106368,college,Birmingham,UKG31,nuts3
BLACKPOOL AND THE FYLDE COLLEGE 108529,college,Blackpool,UKD42,nuts3
"BOURNEMOUTH AND POOLE COLLEGE, THE 106532",college,Bournemouth and Poole,UKK21,nuts3
BRADFORD COLLEGE 108311,college,Bradford,UKE41,nuts3
BURTON AND SOUTH DERBYSHIRE COLLEGE 105347,college,Derby,UKF11,nuts3
Bedford College,college,Bedford,UKH24,nuts3
Belfast Bible College Limited,college,Belfast,UKN01,nuts3
Belfast Metropolitan College,college,Belfast,UKN01,nuts3
Birmingham Metropolitan College,college,Birmingham,UKG31,nuts3
CASTLE COLLEGE NOTTINGHAM 106977,college,Nottingham,UKF14,nuts3
CENTRAL BEDFORDSHIRE COLLEGE 105017,college,Central Bedfordshire,UKH25,nuts3
CENTRAL COLLEGE NOTTINGHAM 108485,college,Nottingham,UKF14,nuts3
COVENTRY UNIVERSITY 108253,college,Coventry,UKG33,nuts3
Castle College Nottingham,college,Nottingham,UKF14,nuts3
Central Bedfordshire College,college,Central Bedfordshire,UKH25,nuts3
Coventry University,college,Coventry,UKG33,nuts3
Coventry University (Health Design and Technology Institute),college,Coventry,UKG33,nuts3
Coventry University Enterprises,college,Coventry,UKG33,nuts3
DARLINGTON COLLEGE 105941,college,Darlington,UKC13,nuts3
DERBY BUSINESS COLLEGE LIMITED 112490,college,Derby,UKF11,nuts3
DERBY COLLEGE 112173,college,Derby,UKF11,nuts3
DUDLEY COLLEGE 106374,college,Dudley,UKG36,nuts3
Durham University,college,Durham CC,UKC14,nuts3
EAST BERKSHIRE COLLEGE 107745,college,Berkshire,UKJ11,nuts3
EAST DEVON COLLEGE 110213,college,Devon CC,UKK43,nuts3
EAST DURHAM COLLEGE 108659,college,Durham CC,UKC14,nuts3
EAST KENT COLLEGE 106743,college,Kent CC,UKJ42,nuts3
EAST KENT HOSPITALS UNIVERSITY NHS 118570,college,Kent CC,UKJ42,nuts3
EAST SURREY COLLEGE 110214,college,Surrey,UKJ23,nuts3
GLOUCESTERSHIRE COLLEGE 106583,college,Gloucestershire,UKK13,nuts3
Gower College Swansea,college,Swansea,UKL18,nuts3
HEART OF WORCESTERSHIRE COLLEGE 106641,college,Worcestershire,UKG12,nuts3
HENLEY COLLEGE COVENTRY 106441,college,Coventry,UKG33,nuts3
HEREFORDSHIRE AND LUDLOW COLLEGE 106633,college,"Herefordshire, County of",UKG11,nuts3
HIGHBURY COLLEGE PORTSMOUTH 110218,college,Portsmouth,UKJ31,nuts3
ISLE OF WIGHT COLLEGE 108517,college,Isle of Wight,UKJ34,nuts3
LAKES COLLEGE WEST CUMBRIA 106476,college,West Cumbria,UKD11,nuts3
LEEDS COLLEGE OF BUILDING 107582,college,Leeds,UKE42,nuts3
LEICESTER COLLEGE 105623,college,Leicester,UKF21,nuts3
LIVERPOOL JOHN MOORES UNIVERSITY 108230,college,Liverpool,UKD72,nuts3
Lancashire Colleges Consortium,college,Lancashire CC,UKD43,nuts3
Liverpool Hope University,college,Liverpool,UKD72,nuts3
Liverpool John Moore's University,college,Liverpool,UKD72,nuts3
Liverpool John Moores University,college,Liverpool,UKD72,nuts3
MID-KENT COLLEGE 106733,college,Kent CC,UKJ42,nuts3
MILTON KEYNES COLLEGE 108653,college,Milton Keynes,UKJ12,nuts3
NEW COLLEGE DURHAM 108661,college,Durham CC,UKC14,nuts3
NEW COLLEGE NOTTINGHAM (NCN) 106985,college,Nottingham,UKF14,nuts3
NEW COLLEGE SWINDON 107178,college,Swindon,UKK14,nuts3
NORTH EAST SURREY COLLEGE OF TECHNOLOGY 108505,college,Surrey,UKJ23,nuts3
NORTH HERTFORDSHIRE COLLEGE 105010,college,Hertfordshire,UKH23,nuts3
NORTH KENT COLLEGE 106734,college,Kent CC,UKJ42,nuts3
NORTH NOTTINGHAMSHIRE COLLEGE 107949,college,North Nottinghamshire,UKF15,nuts3
NORTH SHROPSHIRE COLLEGE 108452,college,Shropshire CC,UKG22,nuts3
NORTH WARWICKSHIRE AND HINCKLEY COLLEGE 106442,college,Warwickshire,UKG13,nuts3
NORTHUMBERLAND COLLEGE 107495,college,Northumberland,UKC21,nuts3
NW Kent College,college,Kent CC,UKJ42,nuts3
New College Nottingham,college,Nottingham,UKF14,nuts3
North West Kent College,college,Kent CC,UKJ42,nuts3
Nottingham Trent University,college,Nottingham,UKF14,nuts3
"PARK LANE COLLEGE, LEEDS 108500",college,Leeds,UKE42,nuts3
PLYMOUTH COLLEGE OF ART 106513,college,Plymouth,UKK41,nuts3
PORTSMOUTH COLLEGE 108402,college,Portsmouth,UKJ31,nuts3
Queen's University Belfast,college,Belfast,UKN01,nuts3
Queens University Belfast,college,Belfast,UKN01,nuts3
Queens University Belfast (Collaborative project with Andor Technology Limited),college,Belfast,UKN01,nuts3
Queens University Belfast 2nd collaboration for Insignia Technologies Limited,college,Belfast,UKN01,nuts3
Queens University Belfast 2nd collaboration with Randox,college,Belfast,UKN01,nuts3
Queens University of Belfast,college,Belfast,UKN01,nuts3
Queens University of Belfast  2n d collaboration to Almac Discovery,college,Belfast,UKN01,nuts3
SANDWELL COLLEGE 105110,college,Sandwell,UKG37,nuts3
"SHEFFIELD COLLEGE, THE 106996",college,Sheffield,UKE32,nuts3
SOLIHULL COLLEGE 106366,college,Solihull,UKG32,nuts3
SOMERSET COLLEGE 107538,college,Somerset,UKK23,nuts3
SOUTH DEVON COLLEGE 108487,college,Devon CC,UKK43,nuts3
SOUTH EAST DERBYSHIRE COLLEGE 105432,college,East Derbyshire,UKF12,nuts3
SOUTH ESSEX COLLEGE OF FURTHER AND HIGHER 106569,college,Essex CC,UKH33,nuts3
SOUTH KENT COLLEGE 106741,college,Kent CC,UKJ42,nuts3
SOUTH LEICESTERSHIRE COLLEGE 106775,college,Leicester,UKF21,nuts3
SOUTH STAFFORDSHIRE COLLEGE 118791,college,Staffordshire CC,UKG24,nuts3
SOUTH TYNESIDE COLLEGE 107121,college,Tyneside,UKC22,nuts3
SOUTH WORCESTERSHIRE COLLEGE 109884,college,Worcestershire,UKG12,nuts3
SUFFOLK NEW COLLEGE 107059,college,Suffolk,UKH14,nuts3
SUNDERLAND COLLEGE 107096,college,Sunderland,UKC23,nuts3
SWINDON COLLEGE 109044,college,Swindon,UKK14,nuts3
Sheffield Hallam University,college,Sheffield,UKE32,nuts3
Somerset College of Arts & Technology,college,Somerset,UKK23,nuts3
South Devon College,college,Devon CC,UKK43,nuts3
South Lanarkshire College,college,South Lanarkshire,UKM38,nuts3
Swansea Metropolitan University,college,Swansea,UKL18,nuts3
Swansea University,college,Swansea,UKL18,nuts3
THE LANCASHIRE COLLEGES LIMITED 115080,college,Lancashire CC,UKD43,nuts3
The University of York,college,York,UKE21,nuts3
UNIVERSITY HOSPITAL SOUTHAMPTON NHS 118464,college,Southampton,UKJ32,nuts3
UNIVERSITY OF DERBY 105452,college,Derby,UKF11,nuts3
UNIVERSITY OF DURHAM 108196,college,Durham CC,UKC14,nuts3
University Hospital Birmingham,college,Birmingham,UKG31,nuts3
University Of Plymouth - KNOWLEDGE SPA ONLY,college,Plymouth,UKK41,nuts3
University Of Plymouth General Account,college,Plymouth,UKK41,nuts3
University of Bedfordshire,college,Bedford,UKH24,nuts3
University of Birmingham,college,Birmingham,UKG31,nuts3
University of Bradford,college,Bradford,UKE41,nuts3
University of Central Lancashire,college,Lancashire CC,UKD43,nuts3
University of Derby,college,Derby,UKF11,nuts3
University of Gloucestershire,college,Gloucestershire,UKK13,nuts3
University of Hertfordshire,college,Hertfordshire,UKH23,nuts3
University of Hertfordshire Ventures,college,Hertfordshire,UKH23,nuts3
University of Leeds,college,Leeds,UKE42,nuts3
University of Leicester,college,Leicester,UKF21,nuts3
University of Liverpool,college,Liverpool,UKD72,nuts3
University of Nottingham,college,Nottingham,UKF14,nuts3
University of Plymouth,college,Plymouth,UKK41,nuts3
University of Sheffield,college,Sheffield,UKE32,nuts3
University of Sunderland,college,Sunderland,UKC23,nuts3
University of Wolverhampton,college,Wolverhampton,UKG39,nuts3
WAKEFIELD COLLEGE 108440,college,Wakefield,UKE45,nuts3
WALSALL COLLEGE 105118,college,Walsall,UKG38,nuts3
WARWICKSHIRE COLLEGE 106448,college,Warwickshire,UKG13,nuts3
WEST KENT AND ASHFORD COLLEGE 105603,college,Kent CC,UKJ42,nuts3
WEST NOTTINGHAMSHIR E COLLEGE 107960,college,Nottingham,UKF14,nuts3
WEST NOTTINGHAMSHIRE COLLEGE 107960,college,Nottingham,UKF14,nuts3
WEST SUFFOLK COLLEGE 105936,college,Suffolk,UKH14,nuts3
WILTSHIRE COLLEGE 109912,college,Wiltshire,UKK15,nuts3
WIRRAL METROPOLITAN COLLEGE 108474,college,Wirral,UKD74,nuts3
West Lothian College,college,West Lothian,UKM28,nuts3
West Nottinghamshire College,college,Nottingham,UKF14,nuts3
Wiltshire College,college,Wiltshire,UKK15,nuts3
YORK COLLEGE 107575,college,York,UKE21,nuts3
YORKSHIRE COAST COLLEGE OF FURTHER AND 106679,college,York,UKE21,nuts3
YORKSHIRE COLLEGE OF BEAUTY LIMITED 107873,college,York,UKE21,nuts3
York College,college,York,UKE21,nuts3
ACCRINGTON AND ROSSENDALE COLLEGE 106762,college,Rossendale,E07000125,lau1
AMERSHAM & WYCOMBE COLLEGE 105019,college,Wycombe,E07000007,lau1
Angus College,college,Angus,S30000001,lau1
BARKING AND DAGENHAM COLLEGE 106542,college,Barking and Dagenham,UKI2101,lau1
BARNET & SOUTHGATE COLLEGE 108532,college,Barnet,UKI2301,lau1
BARNSLEY COLLEGE 107013,college,Barnsley,E08000016,lau1
BEXLEY COLLEGE 105658,college,Bexley,UKI2102,lau1
BMC (BROOKSBY MELTON COLLEGE) 106763,college,Melton,E07000133,lau1
BOLTON COLLEGE 106815,college,Bolton,E08000001,lau1
BOSTON COLLEGE 107641,college,Boston,E07000136,lau1
BRACKNELL AND WOKINGHAM COLLEGE 105024,college,Wokingham,E06000041,lau1
BROMLEY ADULT EDUCATION COLLEGE 108135,college,Bromley,UKI2201,lau1
BROMLEY COLLEGE OF FURTHER AND HIGHER 105711,college,Bromley,UKI2201,lau1
BURNLEY COLLEGE 106751,college,Burnley,E07000117,lau1
BURY COLLEGE 105763,college,Bury,E08000002,lau1
Barnsley College,college,Barnsley,E08000016,lau1
Birmingham City University (formerly UCE),college,Birmingham,E08000025,lau1
Bishop Grosseteste University College Lincoln,college,Lincoln,E07000138,lau1
Bromley College of Further and Higher Education Rookery Lane Bromley BR2 8HE,college,Bromley,UKI2201,lau1
CALDERDALE COLLEGE 108325,college,Calderdale,E08000033,lau1
CAMBRIDGE REGIONAL COLLEGE 108527,college,Cambridge,E07000008,lau1
CANTERBURY COLLEGE 106717,college,Canterbury,E07000106,lau1
CARLISLE COLLEGE 106454,college,Carlisle,E07000028,lau1
CHELMSFORD COLLEGE 106563,college,Chelmsford,E07000070,lau1
CHESTERFIELD COLLEGE 105367,college,Chesterfield,E07000034,lau1
CHICHESTER COLLEGE 107513,college,Chichester,E07000225,lau1
CITY AND ISLINGTON COLLEGE 108518,college,Islington,UKI1203,lau1
CITY COLLEGE BRIGHTON AND HOVE 106098,college,Brighton and Hove,E06000043,lau1
CITY COLLEGE COVENTRY 112389,college,Coventry,E08000026,lau1
CITY COLLEGE NORWICH 106947,college,Norwich,E07000148,lau1
CITY COLLEGE PLYMOUTH 108499,college,Plymouth,E06000026,lau1
"CITY COLLEGE, BIRMINGHAM 111726",college,Birmingham,E08000025,lau1
CITY OF BRISTOL COLLEGE 105156,college,"Bristol, City of",UKK11,nuts3
CITY OF WESTMINSTER COLLEGE 108526,college,Westminster,UKI1106,lau1
CITY OF WOLVERHAMPTON COLLEGE 106388,college,Wolverhampton,E08000031,lau1
"COLLEGE OF HARINGEY, ENFIELD AND NORTH-EAST 107479",college,"Enfield,Haringey","UKI2103,UKI1202",lau1
"COLLEGE OF NORTH WEST LONDON, THE 108782",college,Outer London - West and North West,UKI23,nuts3
CORNWALL COLLEGE 106490,college,Cornwall,E06000052,lau1
CRAVEN COLLEGE 107552,college,Craven,E07000163,lau1
CROYDON COLLEGE 105714,college,Croydon,UKI2202,lau1
CUMBRIA COLLEGES LIMITED 117985,college,Cumbria,UKD1,nuts2
Cardiff Metropolitan University,college,Cardiff,W06000015,lau1
Central Manchester University Hospitals NHS Foundation Trust,college,Manchester,E08000003,lau1
Chesterfield College,college,Chesterfield,E07000034,lau1
Chichester College,college,Chichester,E07000225,lau1
City of Bristol College,college,"Bristol, City of",UKK11,nuts3
Connect Midlands - University of Warwick,college,Warwick,E07000222,lau1
Cornwall College,college,Cornwall,E06000052,lau1
DONCASTER COLLEGE 107019,college,Doncaster,E08000017,lau1
Dumfries and Galloway College,college,Dumfries & Galloway,S30000016,lau1
"EALING, HAMMERSMITH & WEST LONDON COLLEGE 106809",college,Ealing,UKI2303,lau1
EASTLEIGH COLLEGE 108524,college,Eastleigh,E07000086,lau1
EDEN COLLEGE OF HUMAN RESOURCE DEVELOPMENT 118465,college,Eden,E07000030,lau1
ENFIELD COLLEGE 107878,college,Enfield,UKI2103,lau1
EPPING FOREST COLLEGE 108461,college,Epping Forest,E07000072,lau1
EXETER COLLEGE 108460,college,Exeter,E07000041,lau1
"Ealing, Hammersmith & West London College",college,Ealing,UKI2303,lau1
"Ealing, Hammersmith and West London College",college,Ealing,UKI2303,lau1
Eden College,college,Eden,E07000030,lau1
Eden college,college,Eden,E07000030,lau1
Edinburgh Napier University,college,"Edinburgh, City of",UKM25,nuts3
FAREHAM COLLEGE 108459,college,Fareham,E07000087,lau1
GATESHEAD COLLEGE 108458,college,Gateshead,E08000037,lau1
GLOUCESTERSHIR E COLLEGE 106583,college,Gloucester,E07000081,lau1
GREAT YARMOUTH COLLEGE 106950,college,Great Yarmouth,E07000145,lau1
GREENWICH COMMUNITY COLLEGE 108473,college,Greenwich,UKI2104,lau1
GUILDFORD COLLEGE 107909,college,Guildford,E07000209,lau1
Glasgow Clyde College,college,Glasgow City,UKM34,nuts3
Glasgow College of Nautical Studies,college,Glasgow City,UKM34,nuts3
Glasgow Kelvin College,college,Glasgow City,UKM34,nuts3
Glasgow Metropolitan College,college,Glasgow City,UKM34,nuts3
Guildford College of Further and Higher Education,college,Guildford,E07000209,lau1
HACKNEY COMMUNITY COLLEGE 108523,college,Hackney,UKI1201,lau1
HARLOW COLLEGE 105486,college,Harlow,E07000073,lau1
HARROW COLLEGE 108767,college,Harrow,UKI2304,lau1
HARTLEPOOL COLLEGE OF FURTHER EDUCATION 107069,college,Hartlepool,E06000001,lau1
HAVANT COLLEGE 108422,college,Havant,E07000090,lau1
HAVERING COLLEGE OF FURTHER AND HIGHER 108521,college,Havering,UKI2105,lau1
HUNTINGDONSHIR E REGIONAL COLLEGE 106402,college,Huntingdonshire,E07000011,lau1
HUNTINGDONSHIRE REGIONAL COLLEGE 106402,college,Huntingdonshire,E07000011,lau1
"Harrow College, Harrow-on-the Hill Campus, Lowlands Road, Harrow, HA1 3AQ",college,Harrow,UKI2304,lau1
KENSINGTON AND CHELSEA COLLEGE 108322,college,Kensington and Chelsea,UKI1104,lau1
KING'S COLLEGE LONDON 115785,college,London,UKI,nuts1
KIRKLEES COLLEGE 107157,college,Kirklees,E08000034,lau1
KNOWSLEY COMMUNITY COLLEGE 106909,college,Knowsley,E08000011,lau1
Kensington and Chelsea College,college,Kensington and Chelsea,UKI1104,lau1
LAMBETH COLLEGE 106790,college,Lambeth,UKI1204,lau1
LANCASTER AND MORECAMBE COLLEGE 106466,college,Lancaster,E07000121,lau1
LEEDS CITY COLLEGE 118778,college,Leeds,E08000035,lau1
LEWISHAM SOUTHWARK COLLEGE 105674,college,"Lewisham,Southwark","UKI1205,UKI1207",lau1
LINCOLN COLLEGE 107635,college,Lincoln,E07000138,lau1
LINCOLN COLLEGE 110223,college,Lincoln,E07000138,lau1
LONDON SOUTH BANK UNIVERSITY 108261,college,London,UKI,nuts1
LONDON VESTA COLLEGE LIMITED 124219,college,London,UKI,nuts1
Lancaster University,college,Lancaster,E07000121,lau1
Lancaster University University House Bailrigg Lancaster LA1 4YW,college,Lancaster,E07000121,lau1
Leeds City College,college,Leeds,E08000035,lau1
Lincoln College,college,Lincoln,E07000138,lau1
London Capital Colleges,college,London,UKI,nuts1
London Metropolitan University 41 Commercial Road E1 1LA,college,London,UKI,nuts1
"London South Bank University, 103 Borough Road, London, SE1 0AA",college,London,UKI,nuts1
"MANCHESTER COLLEGE, THE 118446",college,Manchester,E08000003,lau1
MIDDLESBROUGH COLLEGE 107073,college,Middlesbrough,E06000002,lau1
Manchester Metropolitan University,college,Manchester,E08000003,lau1
NEWCASTLE COLLEGE CONSTRUCTION LIMITED 118365,college,Newcastle upon Tyne,E08000021,lau1
NEWCASTLE- UNDER-LYME COLLEGE (NULC) 106068,college,Newcastle upon Tyne,E08000021,lau1
NEWHAM COLLEGE OF FURTHER EDUCATION 108507,college,Newham,UKI1206,lau1
NEWHAM SIXTH FORM COLLEGE 108407,college,Newham,UKI1206,lau1
NORTHAMPTON COLLEGE 106970,college,Northampton,E07000154,lau1
Newcastle College Group,college,Newcastle upon Tyne,E08000021,lau1
Newcastle University,college,Newcastle upon Tyne,E08000021,lau1
Newham College of Further Education,college,Newham,UKI1206,lau1
Newham College of Further Education East Ham Campus High Street South E6 6ER,college,Newham,UKI1206,lau1
Orkney College,college,Orkney Islands,S30000040,lau1
PETERBOROUGH REGIONAL COLLEGE 106409,college,Peterborough,E06000031,lau1
PRESTON COLLEGE 108623,college,Preston,E07000123,lau1
Pembrokeshire College,college,Pembrokeshire,W06000009,lau1
REDBRIDGE COLLEGE 108495,college,Redbridge,UKI2106,lau1
REDCAR & CLEVELAND COLLEGE 107079,college,Redcar and Cleveland,E06000003,lau1
RICHMOND UPON THAMES COLLEGE 108449,college,Richmond upon Thames,UKI2307,lau1
ROTHERHAM COLLEGE OF ARTS AND TECHNOLOGY 108493,college,Rotherham,E08000018,lau1
ROYAL FOREST OF DEAN COLLEGE 106589,college,Forest of Dean,E07000080,lau1
SALFORD CITY COLLEGE 108406,college,Salford,E08000006,lau1
SELBY COLLEGE 105583,college,Selby,E07000169,lau1
SOUTH & CITY COLLEGE BIRMINGHAM 105074,college,Birmingham,E08000025,lau1
SOUTHAMPTON CITY COLLEGE 106614,college,Southampton,E06000045,lau1
SOUTHWARK COLLEGE 106797,college,Southwark,UKI1207,lau1
STAFFORD COLLEGE 105114,college,Stafford,E07000197,lau1
STOCKPORT COLLEGE 106863,college,Stockport,E08000007,lau1
STOCKTON RIVERSIDE COLLEGE 107083,college,Stockton-on-Tees,E06000004,lau1
STOKE ON TRENT COLLEGE 107044,college,Stoke-on-Trent,E06000021,lau1
STROUD COLLEGE OF FURTHER EDUCATION 106590,college,Stroud,E07000082,lau1
SUSSEX COAST COLLEGE HASTINGS 107520,college,Hastings,E07000062,lau1
Shetland College,college,Shetland Islands,S30000041,lau1
Stoke on Trent College,college,Stoke-on-Trent,E06000021,lau1
TAMESIDE COLLEGE 106868,college,Tameside,E08000008,lau1
TAMWORTH AND LICHFIELD COLLEGE 108312,college,"Lichfield,Tamworth","E07000194,E07000199",lau1
THE CITY OF LIVERPOOL COLLEGE 106915,college,Liverpool,E08000012,lau1
THE COLLEGE OF RICHARD COLLYER IN HORSHAM 108368,college,Horsham,E07000227,lau1
THE OLDHAM COLLEGE 110734,college,Oldham,E08000004,lau1
THE UNIVERSITY OF WEST LONDON 108331,college,Outer London - West and North West,UKI23,nuts3
TOWER HAMLETS COLLEGE 106556,college,Tower Hamlets,UKI1208,lau1
TRAFFORD COLLEGE 108484,college,Trafford,E08000009,lau1
Tameside College,college,Tameside,E08000008,lau1
The Manchester College,college,Manchester,E08000003,lau1
The University of Manchester,college,Manchester,E08000003,lau1
Tower Hamlets College,college,Tower Hamlets,UKI1208,lau1
Tower Hamlets College 112 Poplar High Street E14 0AF,college,Tower Hamlets,UKI1208,lau1
UNIVERSITY OF LINCOLN 111634,college,Lincoln,E07000138,lau1
University Of Exeter,college,Exeter,E07000041,lau1
University of Bristol,college,"Bristol, City of",UKK11,nuts3
University of Cambridge,college,Cambridge,E07000008,lau1
University of Edinburgh,college,"Edinburgh, City of",UKM25,nuts3
University of Exeter,college,Exeter,E07000041,lau1
University of Exeter - Evidence of Competiveness,college,Exeter,E07000041,lau1
University of Exeter - SLIM,college,Exeter,E07000041,lau1
University of Glasgow,college,Glasgow City,UKM34,nuts3
University of Lincoln,college,Lincoln,E07000138,lau1
University of Manchester,college,Manchester,E08000003,lau1
University of Newcastle Upon Tyne,college,Newcastle upon Tyne,E08000021,lau1
University of Northampton,college,Northampton,E07000154,lau1
University of Northumbria at Newcastle,college,Newcastle upon Tyne,E08000021,lau1
University of Salford,college,Salford,E08000006,lau1
University of Stirling,college,Stirling,S30000011,lau1
Urban Futures London Limited (Novated from Ealing and Hammersmith College,college,Ealing,UKI2303,lau1
WALTHAM FOREST COLLEGE 108478,college,Waltham Forest,UKI2107,lau1
WESTMINSTER KINGSWAY COLLEGE 105653,college,Westminster,UKI1106,lau1
WIGAN AND LEIGH COLLEGE 107785,college,Wigan,E08000010,lau1
WORCESTER COLLEGE OF TECHNOLOGY 106655,college,Worcester,E07000237,lau1
WORTHING COLLEGE 108375,college,Worthing,E07000229,lau1
Warwick University,college,Warwick,E07000222,lau1
Westminster Kingsway College,college,Westminster,UKI1106,lau1
Arts Council England,council,"North East (England),North West (England),Yorkshire and The Humber,East Midlands (England),West Midlands (England),East of England,London,South East (England),South West (England)","UKC,UKD,UKE,UKF,UKG,UKH,UKI,UKJ,UKK",nuts1
British Fashion Council Somerset House WC2R 1LA,council,London,UKI,nuts1
Countryside Council for Wales,council,Wales,UKL,nuts1
Higher Education Funding Council for Wales,council,Wales,UKL,nuts1
London Councils,council,London,UKI,nuts1
NATIONAL COUNCIL ON AGEING 105761,council,"North East (England),North West (England),Yorkshire and The Humber,East Midlands (England),West Midlands (England),East of England,London,South East (England),South West (England),Wales,Scotland,Northern Ireland","UKC,UKD,UKE,UKF,UKG,UKH,UKI,UKJ,UKK,UKL,UKM,UKN",nuts1
National Council for Graduate Entrepreneurship,council,"North East (England),North West (England),Yorkshire and The Humber,East Midlands (England),West Midlands (England),East of England,London,South East (England),South West (England),Wales,Scotland,Northern Ireland","UKC,UKD,UKE,UKF,UKG,UKH,UKI,UKJ,UKK,UKL,UKM,UKN",nuts1
National Council for Voluntary,council,"North East (England),North West (England),Yorkshire and The Humber,East Midlands (England),West Midlands (England),East of England,London,South East (England),South West (England),Wales,Scotland,Northern Ireland","UKC,UKD,UKE,UKF,UKG,UKH,UKI,UKJ,UKK,UKL,UKM,UKN",nuts1
SCOTTISH BAKERY TRAINING COUNCIL,council,Scotland,UKM,nuts1
Scottish Borders Council,council,Scottish Borders,UKM24,nuts3
Scottish Council for Voluntary Organisations,council,Scotland,UKM,nuts1
Scottish Further & Higher Education Funding Council,council,Scotland,UKM,nuts1
Scottish Further& Higher Education Funding Council,council,Scotland,UKM,nuts1
