"query_country_code","lau","sum"
CY,CY000_3325,231434
CY,CY000_5327,838
CY,CY000_1122,701
CY,CY000_3356,1141820
CY,CY000_6362,23210
CY,CY000_1224,98884
CY,CY000_3111,1190232
CY,CY000_4319,714
CY,CY000_1439,1081411
CY,CY000_6225,5018
CY,CY000_5120,1885393
CY,CY000_5212,2886822
CY,CY000_1139,4568998
CY,CY000_1324,429900
CY,CY000_1109,2034484
CY,CY000_2102,590
CY,CY000_1365,845072
CY,CY000_2226,106861
CY,CY000_3351,44870
CY,CY000_1454,701
CY,CY000_6126,627
CY,CY000_1300,588394
CY,CY000_4010,15904354
CY,CY000_2201,941086
CY,CY000_1201,354860
CY,CY000_1101,440419
CY,CY000_6112,115423
CY,CY000_4106,2923661
CY,CY000_6226,627
CY,CY000_5129,2044524
CY,CY000_2101,1185509
CY,CY000_3348,463458
CY,CY000_3310,147008
CY,CY000_1302,70130
CY,CY000_6101,383279
CY,CY000_1433,178833
CY,CY000_6122,358814
CY,CY000_5330,258927
CY,CY000_4203,287086
CY,CY000_6217,23210
CY,CY000_2128,317631
CY,CY000_5326,104744
CY,CY000_3332,159406
CY,CY000_3130,85017
CY,CY000_1357,937644
CY,CY000_6369,627
CY,CY000_2204,217265
CY,CY000_6339,627
CY,CY000_3123,527221
CY,CY000_6213,33247
CY,CY000_3135,280437
CY,CY000_1015,7398761
CY,CY000_5343,59495
CY,CY000_5210,3947704
CY,CY000_5101,501007
CY,CY000_4307,424792
CY,CY000_1456,18935
CY,CY000_1245,1804456
CY,CY000_1133,777746
CY,CY000_1107,6087519
CY,CY000_6107,339995
CY,CY000_6200,627
CY,CY000_5223,77092
CY,CY000_1132,2730879
CY,CY000_3124,14169
CY,CY000_4201,714
CY,CY000_1130,366081
CY,CY000_3313,206638
CY,CY000_3322,216674
CY,CY000_6318,11291
CY,CY000_6128,627
CY,CY000_1210,852786
CY,CY000_2206,562054
CY,CY000_3102,2949644
CY,CY000_1340,8179312
CY,CY000_3335,104500
CY,CY000_2126,618141
CY,CY000_3353,590
CY,CY000_2207,2065172
CY,CY000_1321,14727
CY,CY000_5342,838
CY,CY000_6321,141769
CY,CY000_2122,128706
CY,CY000_2114,1160712
CY,CY000_1251,7376319
CY,CY000_6310,92213
CY,CY000_5131,148325
CY,CY000_6370,627
CY,CY000_5360,74578
CY,CY000_6223,627
CY,CY000_4312,94267
CY,CY000_6110,165607
CY,CY000_1368,739876
CY,CY000_5306,58657
CY,CY000_3312,119850
CY,CY000_3314,590
CY,CY000_4123,73557
CY,CY000_6222,31992
CY,CY000_1416,5610
CY,CY000_4316,714
CY,CY000_6344,259074
CY,CY000_6335,1882
CY,CY000_3224,31881
CY,CY000_6215,57084
CY,CY000_4011,2809445
CY,CY000_6230,318040
CY,CY000_1443,148677
CY,CY000_1242,241950
CY,CY000_1409,250366
CY,CY000_1250,145170
CY,CY000_5362,838
CY,CY000_3201,492388
CY,CY000_1105,1518606
CY,CY000_6330,27601
CY,CY000_1221,701
CY,CY000_5128,262279
CY,CY000_1328,701
CY,CY000_1441,850682
CY,CY000_6121,526930
CY,CY000_1457,652914
CY,CY000_4214,482762
CY,CY000_5328,93013
CY,CY000_5146,391324
CY,CY000_5000,104892925
CY,CY000_1021,28131428
CY,CY000_6132,233982
CY,CY000_6011,759030
CY,CY000_4105,2558066
CY,CY000_6341,76530
CY,CY000_1468,7013
CY,CY000_4121,239953
CY,CY000_2120,225530
CY,CY000_6203,627
CY,CY000_3103,3093515
CY,CY000_1369,259483
CY,CY000_3232,347741
CY,CY000_1408,149378
CY,CY000_6115,627
CY,CY000_5127,550950
CY,CY000_6366,627
CY,CY000_3346,57268
CY,CY000_1308,6312
CY,CY000_1206,269301
CY,CY000_4127,794129
CY,CY000_5012,10652176
CY,CY000_1355,719538
CY,CY000_6312,627
CY,CY000_6000,12742917
CY,CY000_1246,701
CY,CY000_6319,627
CY,CY000_2125,31291
CY,CY000_6210,42656
CY,CY000_5345,85471
CY,CY000_6338,89704
CY,CY000_3330,254459
CY,CY000_5350,170942
CY,CY000_4300,421345
CY,CY000_2202,13579
CY,CY000_1310,251768
CY,CY000_1435,5014326
CY,CY000_5105,95527
CY,CY000_6227,154943
CY,CY000_4301,114263
CY,CY000_5344,38546
CY,CY000_1208,451640
CY,CY000_3231,1252223
CY,CY000_1204,151482
CY,CY000_6351,57084
CY,CY000_4204,144971
CY,CY000_3328,243242
CY,CY000_5313,104744
CY,CY000_3336,664782
CY,CY000_3221,775186
CY,CY000_2210,501244
CY,CY000_1432,13325
CY,CY000_6201,627
CY,CY000_5310,838
CY,CY000_6364,136124
CY,CY000_6361,45165
CY,CY000_4216,714
CY,CY000_3000,20198520
CY,CY000_6360,30110
CY,CY000_6352,151179
CY,CY000_6332,19446
CY,CY000_5323,82119
CY,CY000_1450,701
CY,CY000_4124,169252
CY,CY000_6354,5646
CY,CY000_5225,51953
CY,CY000_5100,1066713
CY,CY000_3136,3144432
CY,CY000_1466,11221
CY,CY000_3203,1360265
CY,CY000_4217,714
CY,CY000_1244,948865
CY,CY000_5147,838
CY,CY000_2103,243242
CY,CY000_5134,10055
CY,CY000_1223,255275
CY,CY000_1436,322600
CY,CY000_2111,285750
CY,CY000_1138,741279
CY,CY000_5220,211164
CY,CY000_4317,132831
CY,CY000_3337,706110
CY,CY000_4122,448483
CY,CY000_1438,908189
CY,CY000_1136,214599
CY,CY000_1200,72234
CY,CY000_3105,3059543
CY,CY000_1453,140962
CY,CY000_2129,115127
CY,CY000_3220,32472
CY,CY000_1421,18935
CY,CY000_1220,393432
CY,CY000_6320,105386
CY,CY000_6216,3764
CY,CY000_6334,25719
CY,CY000_2110,309956
CY,CY000_4212,1076216
CY,CY000_5221,87147
CY,CY000_6303,39520
CY,CY000_6211,158079
CY,CY000_3326,3542
CY,CY000_4302,546321
CY,CY000_1430,701
CY,CY000_1121,4909
CY,CY000_5123,160049
CY,CY000_6206,42656
CY,CY000_2220,47231
CY,CY000_1010,8782908
CY,CY000_1233,2038792
CY,CY000_4110,2916728
CY,CY000_2211,54316
CY,CY000_6300,63357
CY,CY000_3354,85017
CY,CY000_6113,104131
CY,CY000_3210,253869
CY,CY000_2123,47822
CY,CY000_6021,807960
CY,CY000_1322,325405
CY,CY000_1120,333821
CY,CY000_5307,838
CY,CY000_6207,627
CY,CY000_1403,131144
CY,CY000_5132,67874
CY,CY000_6368,96604
CY,CY000_4101,786273
CY,CY000_5316,88823
CY,CY000_5126,556162
CY,CY000_1461,59611
CY,CY000_3344,224349
CY,CY000_3303,109813
CY,CY000_1212,380808
CY,CY000_4108,2700895
CY,CY000_6026,1662339
CY,CY000_1228,249664
CY,CY000_4205,222813
CY,CY000_1437,181638
CY,CY000_3132,185383
CY,CY000_1222,268600
CY,CY000_1411,421356
CY,CY000_3350,84426
CY,CY000_1014,10086159
CY,CY000_6333,8155
CY,CY000_3113,384936
CY,CY000_4318,714
CY,CY000_3200,126934
CY,CY000_1134,548420
CY,CY000_4211,124975
CY,CY000_1143,173923
CY,CY000_6317,627
CY,CY000_1354,470575
CY,CY000_6218,44538
CY,CY000_6340,627
CY,CY000_5226,227085
CY,CY000_3219,327668
CY,CY000_6367,483019
CY,CY000_4210,974380
CY,CY000_1350,551926
CY,CY000_5340,838
CY,CY000_3122,302281
CY,CY000_1427,242651
CY,CY000_5329,838
CY,CY000_4315,138544
CY,CY000_5222,249710
CY,CY000_6304,4391
CY,CY000_4305,199961
CY,CY000_6365,758403
CY,CY000_3321,590
CY,CY000_1323,241950
CY,CY000_5125,1160887
CY,CY000_6336,25719
CY,CY000_5011,14115801
CY,CY000_1367,442523
CY,CY000_5314,201946
CY,CY000_6314,627
CY,CY000_2212,44279
CY,CY000_1406,448133
CY,CY000_1362,1665598
CY,CY000_5130,349426
CY,CY000_1305,81351
CY,CY000_5352,316746
CY,CY000_2113,27158
CY,CY000_6111,365715
CY,CY000_5325,119827
CY,CY000_5308,796055
CY,CY000_3345,460506
CY,CY000_3334,47231
CY,CY000_1131,2370409
CY,CY000_6104,720774
CY,CY000_3215,590
CY,CY000_5322,179322
CY,CY000_5136,188539
CY,CY000_1464,701
CY,CY000_4120,572744
CY,CY000_1458,701
CY,CY000_6305,91585
CY,CY000_1230,10210344
CY,CY000_1209,1167546
CY,CY000_4303,134259
CY,CY000_3134,87969
CY,CY000_3222,232509
CY,CY000_1405,41377
CY,CY000_2127,181841
CY,CY000_1426,75040
CY,CY000_1412,197768
CY,CY000_6102,94095
CY,CY000_5203,3147349
CY,CY000_2112,590
CY,CY000_4306,444198
CY,CY000_6228,627
CY,CY000_5300,555562
CY,CY000_5121,10055
CY,CY000_4313,29994
CY,CY000_5022,22055691
CY,CY000_5200,682093
CY,CY000_4012,3585721
CY,CY000_1110,375198
CY,CY000_3223,229072
CY,CY000_1303,49793
CY,CY000_3214,590
CY,CY000_6010,4217135
CY,CY000_5107,352778
CY,CY000_1366,100287
CY,CY000_4215,1505418
CY,CY000_3234,593345
CY,CY000_1207,436211
CY,CY000_5312,183512
CY,CY000_5227,1271981
CY,CY000_1202,57507
CY,CY000_6127,627
CY,CY000_1135,525978
CY,CY000_2209,221988
CY,CY000_3347,34243
CY,CY000_6020,1770887
CY,CY000_1227,965696
CY,CY000_6316,627
CY,CY000_6212,627
CY,CY000_5214,56143
CY,CY000_1243,3472713
CY,CY000_1103,1317751
CY,CY000_1351,1941210
CY,CY000_6027,838275
CY,CY000_5020,2578379
CY,CY000_1301,125533
CY,CY000_3352,1312443
CY,CY000_5361,319260
CY,CY000_6114,161216
CY,CY000_5211,1719516
CY,CY000_3341,590
CY,CY000_1124,413770
CY,CY000_1123,701
CY,CY000_1467,2104
CY,CY000_1229,998657
CY,CY000_3237,304052
CY,CY000_3204,142285
CY,CY000_5124,3107965
CY,CY000_3205,539029
CY,CY000_6130,18192
CY,CY000_5368,838
CY,CY000_5103,1010645
CY,CY000_1329,11221
CY,CY000_5320,166752
CY,CY000_4213,832751
CY,CY000_6214,627
CY,CY000_3236,568548
CY,CY000_2203,24797
CY,CY000_5355,838
CY,CY000_6022,2272073
CY,CY000_5366,696338
CY,CY000_6103,627
CY,CY000_1142,281223
CY,CY000_3110,2597138
CY,CY000_4111,1475424
CY,CY000_4125,689150
CY,CY000_3120,1580482
CY,CY000_3202,1522623
CY,CY000_6023,794786
CY,CY000_1425,70832
CY,CY000_5224,838
CY,CY000_5311,122711
CY,CY000_2218,1134735
CY,CY000_6301,53320
CY,CY000_1414,701
CY,CY000_2200,279256
CY,CY000_2222,3389445
CY,CY000_5331,197757
CY,CY000_2121,51364
CY,CY000_6350,35756
CY,CY000_2223,1151856
CY,CY000_3235,122211
CY,CY000_3213,40147
CY,CY000_5369,1308043
CY,CY000_5317,838
CY,CY000_5021,8457804
CY,CY000_3343,157635
CY,CY000_1024,5194135
CY,CY000_5324,838
CY,CY000_3212,49593
CY,CY000_1022,701
CY,CY000_3112,254459
CY,CY000_1304,121326
CY,CY000_2000,13579036
CY,CY000_3333,590
CY,CY000_1108,1734663
CY,CY000_3239,108632
CY,CY000_3218,169443
CY,CY000_1307,701
CY,CY000_1013,17683331
CY,CY000_1226,410263
CY,CY000_6123,481765
CY,CY000_3300,590
CY,CY000_5304,165915
CY,CY000_1137,701
CY,CY000_1465,701
CY,CY000_1325,701
CY,CY000_1012,49231376
CY,CY000_1410,84157
CY,CY000_1141,701
CY,CY000_5133,116475
CY,CY000_1402,9117
CY,CY000_2104,80884
CY,CY000_1144,131144
CY,CY000_1104,86962
CY,CY000_6229,627
CY,CY000_6124,165607
CY,CY000_4126,315652
CY,CY000_4113,39992
CY,CY000_1330,403951
CY,CY000_5318,186025
CY,CY000_6219,627
CY,CY000_5122,11731
CY,CY000_4304,396350
CY,CY000_6363,622907
CY,CY000_2221,273942
CY,CY000_3338,507738
CY,CY000_5137,19273
CY,CY000_2216,590
CY,CY000_1023,16297173
CY,CY000_3217,370176
CY,CY000_1431,701
CY,CY000_2224,590
CY,CY000_4000,31087471
CY,CY000_6025,864183
CY,CY000_6308,20701
CY,CY000_3216,131658
CY,CY000_1225,4808126
CY,CY000_5201,51115
CY,CY000_1327,453043
CY,CY000_2100,216084
CY,CY000_4102,3369335
CY,CY000_6353,306121
CY,CY000_6205,90958
CY,CY000_1231,1004268
CY,CY000_5351,208622
CY,CY000_3114,1221523
CY,CY000_1248,87663
CY,CY000_5142,125693
CY,CY000_4128,35707
CY,CY000_1249,701
CY,CY000_1232,1960847
CY,CY000_1352,703408
CY,CY000_1309,103793
CY,CY000_4107,3962075
CY,CY000_3324,27158
CY,CY000_1100,334522
CY,CY000_6355,10664
CY,CY000_4310,76413
CY,CY000_1451,18234
CY,CY000_1213,525978
CY,CY000_6012,627
CY,CY000_6306,18192
CY,CY000_6108,627
CY,CY000_2215,31881
CY,CY000_2124,114536
CY,CY000_3301,47231
CY,CY000_6125,163097
CY,CY000_1400,101689
CY,CY000_1363,280522
CY,CY000_6224,627
CY,CY000_6311,627
CY,CY000_1247,570862
CY,CY000_1240,1091230
CY,CY000_4308,213529
CY,CY000_1459,701
CY,CY000_2208,590
CY,CY000_3323,156454
CY,CY000_6116,627
CY,CY000_5364,142452
CY,CY000_5102,215354
CY,CY000_1353,826136
CY,CY000_1320,93975
CY,CY000_4100,406390
CY,CY000_6307,68375
CY,CY000_5140,195243
CY,CY000_3320,85607
CY,CY000_5138,295797
CY,CY000_6220,115423
CY,CY000_5213,372051
CY,CY000_1460,204781
CY,CY000_1420,115715
CY,CY000_5363,88823
CY,CY000_1211,288937
CY,CY000_6337,627
CY,CY000_3342,309366
CY,CY000_2214,590
CY,CY000_6120,569586
CY,CY000_5104,103906
CY,CY000_6313,14428
CY,CY000_5143,177702
CY,CY000_6204,8155
CY,CY000_6024,294203
CY,CY000_3305,111584
CY,CY000_3104,2563486
CY,CY000_3100,2860590
CY,CY000_6106,60221
CY,CY000_5144,838
CY,CY000_5141,258927
CY,CY000_3121,2235227
CY,CY000_1011,15453924
CY,CY000_5110,30166
CY,CY000_6208,45165
CY,CY000_4202,3335770
CY,CY000_4112,801984
CY,CY000_6345,159334
CY,CY000_1306,36468
CY,CY000_6343,1178566
CY,CY000_4013,1219759
CY,CY000_3233,255640
CY,CY000_6302,99113
CY,CY000_6129,102250
CY,CY000_1360,2060502
CY,CY000_1203,46489
CY,CY000_1125,234937
CY,CY000_5109,252224
CY,CY000_5106,129045
CY,CY000_1241,2884338
CY,CY000_6331,504975
CY,CY000_1417,7013
CY,CY000_5321,838
CY,CY000_5108,141614
CY,CY000_1102,967800
CY,CY000_5303,476795
CY,CY000_5367,114799
CY,CY000_1000,92480074
CY,CY000_1407,140261
CY,CY000_3340,393792
CY,CY000_5341,838
CY,CY000_1326,234236
CY,CY000_6315,25092
CY,CY000_4311,649872
CY,CY000_2217,2968495
CY,CY000_4314,714
CY,CY000_3131,65534
CY,CY000_6221,627
CY,CY000_5302,248820
CY,CY000_5135,5028
CY,CY000_1452,220210
CY,CY000_1364,460056
CY,CY000_5145,306691
CY,CY000_1361,1568894
CY,CY000_5202,186025
CY,CY000_3211,824188
CY,CY000_6202,15682
CY,CY000_1106,1875989
CY,CY000_3331,294606
CY,CY000_3133,1295322
CY,CY000_3311,190107
CY,CY000_1415,217404
CY,CY000_3355,207228
CY,CY000_5315,252224
CY,CY000_4103,714
CY,CY000_3101,9326035
CY,CY000_1205,7013
CY,CY000_6014,72767
CY,CY000_6231,34501
CY,CY000_3238,14169
CY,CY000_4309,1004920
CY,CY000_4104,1702115
CY,CY000_1424,1603014
CY,CY000_1404,875228
CY,CY000_5013,11409061
CY,CY000_2205,2461348
CY,CY000_1423,165508
CY,CY000_6133,1993911
CY,CY000_6100,455418
CY,CY000_5365,1084310
CY,CY000_3304,668915
CY,CY000_5305,268145
CY,CY000_2130,97415
CY,CY000_1455,701
CY,CY000_2213,571500
CY,CY000_1422,162703
CY,CY000_3327,118669
